rowid,ID,Latitude,Longitude
67,GID_72,58.1768,27.53847
68,GID_73,58.31763,27.48356
69,GID_74,58.37809,27.4265
70,GID_75,58.47657,27.25816
71,GID_76,58.44085,27.26026
72,GID_77,58.45263,27.42336
73,GID_78,58.38316,27.43084
74,GID_79,58.45301,27.43461
75,GID_81,58.643563,26.840823
76,GID_82,58.231205,26.405061
77,GID_83,58.196409,26.574094
78,GID_84,58.82474,27.11166
79,GID_85,58.92037,27.23163
80,GID_86,58.78149,27.33179
81,GID_87,58.58933,27.43386
82,GID_88,58.44513,27.28735
83,GID_89,58.45283,27.4342
84,GID_90,58.38301,27.43112
85,GID_91,58.33058,27.47889
86,GID_92,58.23236,27.48699
87,GID_93,57.89931,25.870958
88,GID_94,58.002147,26.751146
89,GID_95,58.128955,26.514296
90,GID_96,58.12252,27.57419
91,GID_97,58.23221,27.48628
92,GID_98,58.44537,27.28826
93,GID_99,58.58895,27.43341
94,GID_100,58.78147,27.33255
95,GID_101,58.36707,24.46216
96,GID_102,58.33945,24.41657
97,GID_103,58.305,24.35394
98,GID_104,58.25143,24.44607
99,GID_105,58.26721,24.31929
100,GID_106,58.21943,24.30752
101,GID_107,58.06697,23.95081
102,GID_108,57.94212,27.34747
103,GID_110,57.72892,26.92078
104,GID_111,58.08791,26.64279
105,GID_112,58.19748,26.57209
106,GID_113,57.71287,26.50159
107,GID_114,57.72864,26.92186
108,GID_115,58.08807,26.64253
109,GID_116,58.23071,26.40493
110,GID_118,58.23071,27.48658
111,GID_119,58.33067,27.47902
112,GID_120,58.38316,27.4303
113,GID_121,58.45281,27.434311
114,GID_122,58.44528,27.2893
115,GID_123,58.58901,27.43329
116,GID_124,58.77938,27.33283
117,GID_125,58.92213,27.23186
118,GID_126,58.82562,27.1057
119,GID_128,57.58213,27.2324
120,GID_130,57.63582,27.08536
121,GID_131,58.5914,26.64911
122,GID_132,58.59589,26.68855
123,GID_133,58.52953,26.67507
124,GID_134,55.6558,21.1348
125,GID_135,55.59458,21.15
126,GID_136,55.41866,21.12063
127,GID_137,55.36104,21.08946
128,GID_138,55.30577,21.02788
129,GID_139,55.31339,21.08792
130,GID_140,55.32699,21.17398
131,GID_141,55.36944,21.15101
132,GID_142,58.71246,26.56154
133,GID_143,58.65278,26.8322
134,GID_144,58.64537,26.83995
135,GID_145,58.57731,26.69844
136,GID_146,58.21002,26.10114
137,GID_147,58.33574,26.04457
138,GID_148,58.09975,26.07299
139,GID_149,58.10104,26.0684
140,GID_150,58.12127,26.07798
141,GID_151,58.12244,27.5728
142,GID_152,58.33042,27.47979
143,GID_153,58.3832,27.43058
144,GID_154,58.45263,27.43439
145,GID_155,58.44462,27.28937
146,GID_156,58.58822,27.43486
147,GID_157,58.91518,27.23608
148,GID_158,57.94221,27.34659
149,GID_160,57.96305,26.66403
150,GID_161,57.7127,26.50095
151,GID_162,57.72932,26.92051
152,GID_163,57.63549,27.08488
153,GID_164,57.58591,27.09136
154,GID_166,58.00357,26.39602
155,GID_167,58.03845,26.46287
156,GID_168,58.12983,26.51727
157,GID_169,58.19713,26.57168
158,GID_170,58.23106,26.40436
159,GID_172,57.9057,25.86087
160,GID_173,57.90096,25.87293
161,GID_174,58.2761,25.69015
162,GID_175,58.35718,25.60305
163,GID_176,66.48714,26.60941
164,GID_177,66.43307,26.54973
165,GID_179,66.31871,26.94662
166,GID_180,66.22537,26.4839
167,GID_181,66.91257,27.0612
168,GID_182,58.12309,27.57413
169,GID_183,58.23229,27.48778
170,GID_184,58.33055,27.47955
171,GID_185,58.3406,24.42038
172,GID_186,58.26832,24.31603
173,GID_187,58.21898,24.30587
174,GID_188,58.24848,24.44827
175,GID_189,58.29872,24.47588
176,GID_190,58.38857,24.47085
177,GID_191,58.38863,24.4931
178,GID_192,-35.41002,148.2935
179,GID_193,-35.411931,148.250891
180,GID_194,-35.45072,148.27652
181,GID_195,-35.4534792,148.2757219
182,GID_196,-35.48077,148.2507
183,GID_197,-35.4818989,148.2466599
184,GID_198,-35.52908,148.25539
185,GID_199,-35.5297887,148.2649
186,GID_200,-35.5282762,148.2632862
187,GID_201,-34.2035483,140.4324001
188,GID_202,-34.203198,140.432197
189,GID_203,-34.2172036,140.4517303
190,GID_204,-34.2174617,140.4511499
191,GID_205,-34.24198,140.4540417
192,GID_206,-34.2418531,140.4545178
193,GID_207,-34.99883,148.60324
194,GID_208,-34.9987166,148.6037855
195,GID_209,-34.9991703,148.6031016
196,GID_210,-34.9640027,148.6927805
197,GID_211,-34.964675,148.692872
198,GID_212,-34.926009,148.7318416
199,GID_213,-34.92384,148.732347
200,GID_214,-34.914661,148.7915572
201,GID_215,-34.91491,148.791602
202,GID_216,-35.023765,148.646157
203,GID_217,-35.023107,148.645587
204,GID_218,-36.569212,147.540042
205,GID_219,-36.6018601,147.5329733
206,GID_220,-36.576366,147.5741432
207,GID_221,-36.5565316,147.6060067
208,GID_222,-36.0540579,148.6819566
209,GID_223,-36.0647281,148.7320733
210,GID_224,-36.105928,148.73435
211,GID_225,-36.146002,148.766988
212,GID_226,-36.09841,147.05188
213,GID_227,-36.09865,147.05177
214,GID_228,-36.09888,147.04694
215,GID_229,-36.09825,147.0515
216,GID_230,-36.09873,147.0517
217,GID_231,-36.09876,147.0521
218,GID_232,-36.09876,147.0521
219,GID_233,-36.0999724,147.047315
220,GID_234,-36.097542,147.053005
221,GID_235,-36.2056,147.07917
222,GID_236,-36.20418,147.07862
223,GID_237,-36.20385,147.07837
224,GID_238,-36.20475,147.07813
225,GID_239,-36.2045,147.07792
226,GID_240,-36.2045,147.07792
227,GID_241,-36.2027752,147.079036
228,GID_242,-36.12779,147.0402
229,GID_243,-36.12826,147.03991
230,GID_244,-36.1281,147.03998
231,GID_245,-36.12817,147.03978
232,GID_246,-36.12808,147.03985
233,GID_247,-36.1277,147.0402
234,GID_248,-36.1277,147.0402
235,GID_249,-36.1271413,147.0403382
236,GID_250,-36.0103,147.09025
237,GID_251,-36.00871,147.09095
238,GID_252,-36.00962,147.09083
239,GID_253,-36.00894,147.09061
240,GID_254,-36.01109,147.09016
241,GID_255,-36.00955,147.0894
242,GID_256,-36.00871,147.09095
243,GID_257,-36.00871,147.09095
244,GID_258,-36.0099419,147.0887045
245,GID_259,-36.11009,147.03462
246,GID_260,-36.11042,147.03538
247,GID_261,-36.11066,147.03447
248,GID_262,-36.11091,147.0343
249,GID_263,-36.11042,147.03538
250,GID_264,-36.11042,147.03538
251,GID_265,-36.1086241,147.0326993
252,GID_266,-36.4223441,148.6332421
253,GID_267,-36.4222496,148.6332799
254,GID_268,-36.3814551,148.6358018
255,GID_269,-36.3837296,148.6314776
256,GID_270,-36.363422,148.629688
257,GID_271,-36.3592959,148.6315978
258,GID_272,-36.316158,148.624703
259,GID_273,-36.3161488,148.6251367
260,GID_274,-36.3480453,148.6181072
261,GID_275,-36.3473022,148.61713460000001
262,GID_291,-35.2964142,149.1018958
263,GID_292,-35.2880864,149.0976313
264,GID_294,-35.40916111,149.0663889
265,GID_295,-32.2550099,142.4343434
266,GID_296,-32.2755141,142.4574621
267,GID_297,-32.27519,142.457474
268,GID_298,-32.3021633,142.4608995
269,GID_299,-32.2947324,142.4665283
270,GID_300,-32.305437,142.4852025
271,GID_301,-32.302541,142.484544
272,GID_302,-33.9443456,141.2447667
273,GID_303,-33.9850771,141.2748661
274,GID_304,-34.0315863,141.2963166
275,GID_305,-34.238669,140.3653553
276,GID_306,-34.2312038,140.3679337
277,GID_307,-34.2342,140.3818997
278,GID_308,-2.896861,-64.980194
279,GID_309,-2.894444,-64.977444
280,GID_310,-2.889556,-64.975222
281,GID_311,-2.984667,-64.925306
282,GID_312,-2.988889,-64.935139
283,GID_313,-2.999194,-64.947
284,GID_314,-21.7607222222,-48.9815277778
285,GID_315,-21.8136944444,-48.991
286,GID_316,-21.8509444444,-48.9411388889
287,GID_317,-21.9105277778,-48.8918055556
288,GID_318,-21.7607222222,-48.9815277778
289,GID_319,-21.8136944444,-48.991
290,GID_320,-21.8509444444,-48.9411388889
291,GID_321,-21.9105277778,-48.8918055556
292,GID_322,-21.7607222222,-48.9815277778
293,GID_323,-21.8136944444,-48.991
294,GID_324,-21.8509444444,-48.9411388889
295,GID_325,-21.9105277778,-48.8918055556
296,GID_326,-21.7607222222,-48.9815277778
297,GID_327,-21.8136944444,-48.991
298,GID_328,-21.8509444444,-48.9411388889
299,GID_329,-21.9105277778,-48.8918055556
300,GID_330,-21.7607222222,-48.9815277778
301,GID_331,-21.8136944444,-48.991
302,GID_332,-21.8509444444,-48.9411388889
303,GID_333,-21.9105277778,-48.8918055556
304,GID_334,-21.7610555556,-48.9850277778
305,GID_335,-21.78425,-48.9627777778
306,GID_336,-21.8139472222,-48.9921694444
307,GID_337,-21.8448888889,-48.9655555556
308,GID_338,-21.8506944444,-48.9407777778
309,GID_339,-21.9103055556,-48.8918055556
310,GID_340,-21.8694444444,-48.9018333333
311,GID_341,-21.8886944444,-48.8995
312,GID_342,-2.26158333,-55.12447222
313,GID_343,-2.26105556,-55.21336111
314,GID_344,-2.24461111,-55.24080556
315,GID_345,-2.05363889,-55.63755556
316,GID_346,-2.11675,-55.61755556
317,GID_347,-2.10480556,-55.86488889
318,GID_348,-2.13538889,-55.71980556
319,GID_349,-2.13363889,-55.39580556
320,GID_350,-2.17833333,-55.35516667
321,GID_351,-2.23861111,-55.33866667
322,GID_352,-2.26222222,-55.45569444
323,GID_353,-2.25688889,-55.39830556
324,GID_354,-1.94522222,-55.59375
325,GID_356,-1.94977778,-55.57233333
326,GID_357,-24.6587189985,-54.2711417934
327,GID_358,-24.6937287783,-54.1822006627
328,GID_359,-24.6822208879,-54.196282146
329,GID_360,-24.6733271244,-54.2211290604
330,GID_361,-24.6829743714,-54.2418497324
331,GID_362,-24.6587189985,-54.2711417934
332,GID_363,-24.6937287783,-54.1822006627
333,GID_364,-24.6822208879,-54.196282146
334,GID_365,-24.6818719815,-54.2052639327
335,GID_366,-24.6893270031,-54.2089446415
336,GID_367,-24.6836357357,-54.2253274122
337,GID_368,-24.6733271244,-54.2211290604
338,GID_369,-24.6587189985,-54.2711417934
339,GID_370,-24.6937287783,-54.1822006627
340,GID_371,-24.6822208879,-54.196282146
341,GID_372,-24.6818719815,-54.2052639327
342,GID_373,-24.6893270031,-54.2089446415
343,GID_374,-24.6829743714,-54.2418497324
344,GID_375,-24.6710364356,-54.2659624704
345,GID_376,-24.6776121471,-54.2624779678
346,GID_377,-24.6702056565,-54.278688606
347,GID_378,-24.6587189985,-54.2711417934
348,GID_379,-24.6587189985,-54.2711417934
349,GID_380,-24.6937287783,-54.1822006627
350,GID_381,-24.6822208879,-54.196282146
351,GID_382,-24.6818719815,-54.2052639327
352,GID_383,-24.6893270031,-54.2089446415
353,GID_384,-24.6836357357,-54.2253274122
354,GID_385,-24.6733271244,-54.2211290604
355,GID_386,-24.6829743714,-54.2418497324
356,GID_387,-24.6761795992,-54.25478244
357,GID_388,-24.6710364356,-54.2659624704
358,GID_389,-24.6776121471,-54.2624779678
359,GID_390,-24.6702056565,-54.278688606
360,GID_391,-24.6587189985,-54.2711417934
361,GID_392,-24.6587189985,-54.2711417934
362,GID_393,-24.6937287783,-54.1822006627
363,GID_394,-24.6822208879,-54.196282146
364,GID_395,-24.6818719815,-54.2052639327
365,GID_396,-24.6893270031,-54.2089446415
366,GID_397,-24.6836357357,-54.2253274122
367,GID_398,-24.6733271244,-54.2211290604
368,GID_399,-24.6829743714,-54.2418497324
369,GID_400,-24.6761795992,-54.25478244
370,GID_401,-24.6710364356,-54.2659624704
371,GID_402,-24.6776121471,-54.2624779678
372,GID_403,-24.6702056565,-54.278688606
373,GID_404,-24.6587189985,-54.2711417934
374,GID_405,-24.6587189985,-54.2711417934
375,GID_406,-24.6937287783,-54.1822006627
376,GID_407,-24.6822208879,-54.196282146
377,GID_408,-24.6818719815,-54.2052639327
378,GID_409,-24.6893270031,-54.2089446415
379,GID_410,-24.6836357357,-54.2253274122
380,GID_411,-24.6733271244,-54.2211290604
381,GID_412,-24.6829743714,-54.2418497324
382,GID_413,-24.6761795992,-54.25478244
383,GID_414,-24.6710364356,-54.2659624704
384,GID_415,-24.6776121471,-54.2624779678
385,GID_416,-24.6702056565,-54.278688606
386,GID_417,-24.6587189985,-54.2711417934
387,GID_418,-24.6587189985,-54.2711417934
388,GID_419,-24.6937287783,-54.1822006627
389,GID_420,-24.6822208879,-54.196282146
390,GID_421,-24.6818719815,-54.2052639327
391,GID_422,-24.6893270031,-54.2089446415
392,GID_423,-24.6836357357,-54.2253274122
393,GID_424,-24.6733271244,-54.2211290604
394,GID_425,-24.6829743714,-54.2418497324
395,GID_426,-24.6761795992,-54.25478244
396,GID_427,-24.6710364356,-54.2659624704
397,GID_428,-24.6776121471,-54.2624779678
398,GID_429,-24.6702056565,-54.278688606
399,GID_430,-24.6587189985,-54.2711417934
400,GID_431,-24.6587189985,-54.2711417934
401,GID_432,-24.6937287783,-54.1822006627
402,GID_433,-24.6822208879,-54.196282146
403,GID_434,-24.6818719815,-54.2052639327
404,GID_435,-24.6893270031,-54.2089446415
405,GID_436,-24.6836357357,-54.2253274122
406,GID_437,-24.6733271244,-54.2211290604
407,GID_438,-24.6829743714,-54.2418497324
408,GID_439,-24.6761795992,-54.25478244
409,GID_440,-24.6710364356,-54.2659624704
410,GID_441,-24.6776121471,-54.2624779678
411,GID_442,-24.6702056565,-54.278688606
412,GID_443,-24.6587189985,-54.2711417934
413,GID_444,-24.6587189985,-54.2711417934
414,GID_445,-24.6937287783,-54.1822006627
415,GID_446,-24.6822208879,-54.196282146
416,GID_447,-24.6818719815,-54.2052639327
417,GID_448,-24.6893270031,-54.2089446415
418,GID_449,-24.6836357357,-54.2253274122
419,GID_450,-24.6733271244,-54.2211290604
420,GID_451,-24.6829743714,-54.2418497324
421,GID_452,-24.6761795992,-54.25478244
422,GID_453,-24.6710364356,-54.2659624704
423,GID_454,-24.6776121471,-54.2624779678
424,GID_455,-24.6702056565,-54.278688606
425,GID_456,-24.6587189985,-54.2711417934
426,GID_457,-24.6587189985,-54.2711417934
427,GID_458,-24.6937287783,-54.1822006627
428,GID_459,-24.6822208879,-54.196282146
429,GID_460,-24.6818719815,-54.2052639327
430,GID_461,-24.6893270031,-54.2089446415
431,GID_462,-24.6836357357,-54.2253274122
432,GID_463,-24.6733271244,-54.2211290604
433,GID_464,-24.6829743714,-54.2418497324
434,GID_465,-24.6761795992,-54.25478244
435,GID_466,-24.6710364356,-54.2659624704
436,GID_467,-24.6776121471,-54.2624779678
437,GID_468,-24.6702056565,-54.278688606
438,GID_469,-24.6587189985,-54.2711417934
439,GID_470,50.79173333,-96.76238333
440,GID_471,50.84631667,-96.76891667
441,GID_472,50.97446667,-96.87501667
442,GID_474,50.73363333,-96.92925
443,GID_475,50.69656667,-96.7898
444,GID_476,51.7748,-96.86378333
445,GID_477,51.86291667,-96.93746667
446,GID_478,52.00035,-97.042
447,GID_479,52.0085,-97.18515
448,GID_480,52.12086667,-97.12893333
449,GID_481,52.26676667,-97.19201667
450,GID_482,52.43375,-97.33776667
451,GID_483,52.64205,-97.73355
452,GID_484,52.79573333,-97.5633
453,GID_485,53.02481667,-97.69951667
454,GID_486,53.2006,-97.63263333
455,GID_487,53.17083333,-97.83785
456,GID_488,41.69777778,-83.49416667
457,GID_489,41.73633333,-83.37266667
458,GID_490,41.754,-83.20966667
459,GID_491,41.67166667,-83.17016667
460,GID_492,41.7185,-83.03533333
461,GID_493,41.56966667,-82.909666669999993
462,GID_494,41.46833333,-82.70833333
463,GID_495,41.75583333,-82.735
464,GID_496,41.821,-82.96933333
465,GID_497,41.94316667,-83.043
466,GID_498,41.9215,-82.75466667
467,GID_499,41.97616667,-82.62166667
468,GID_500,41.92416667,-82.46766667
469,GID_501,41.98766667,-82.43666667
470,GID_502,41.935,-81.64133333
471,GID_503,53.83335,-98.50061667
472,GID_504,53.6625,-98.48315
473,GID_505,41.98333333,-82.62472222
474,GID_506,53.59975,-98.92546667
475,GID_507,53.2125,-99.23275
476,GID_508,41.79138889,-83.33333333
477,GID_509,41.73361111,-83.38555556
478,GID_510,41.825,-82.975
479,GID_511,41.65861111,-82.81666667
480,GID_512,41.51861111,-82.64
481,GID_513,53.2046,-98.61611667
482,GID_514,53.07503333,-98.20003333
483,GID_515,52.86605,-98.25038333
484,GID_516,52.82113333,-98.49631667
485,GID_517,42.58194444,-79.92805556
486,GID_518,42.58444444,-79.91305556
487,GID_519,42.71722222,-80.25
488,GID_520,42.84472222,-79.57361111
489,GID_521,52.6374,-98.32433333
490,GID_522,52.64156667,-97.73303333
491,GID_523,52.24123333,-97.62926667
492,GID_524,52.17096667,-97.85395
493,GID_525,52.10373333,-97.41648333
494,GID_526,50.69578333,-96.79133333
495,GID_527,50.51786667,-96.83475
496,GID_528,50.84595,-96.76888333
497,GID_529,50.97456667,-96.87556667
498,GID_530,50.7329,-96.92926667
499,GID_531,50.63346667,-96.95006667
500,GID_532,51.02221667,-96.58295
501,GID_533,51.1393,-96.42628333
502,GID_534,51.21681667,-96.72413333
503,GID_535,51.33791667,-96.57896667
504,GID_536,51.44183333,-96.63431667
505,GID_537,51.77436667,-96.86243333
506,GID_538,52,-97.042
507,GID_539,52.12123333,-97.12931667
508,GID_540,52.26713333,-97.1917
509,GID_541,52.43338333,-97.33703333
510,GID_542,42.71722222,-80.25
511,GID_543,41.93611111,-81.65083333
512,GID_544,42.09777778,-82.14194444
513,GID_545,41.99055556,-82.43805556
514,GID_546,41.92833333,-82.46944444
515,GID_547,41.51916667,-82.63972222
516,GID_548,41.98305556,-82.62472222
517,GID_549,41.92472222,-82.75861111
518,GID_550,41.75944444,-82.73666667
519,GID_551,41.65888889,-82.81611111
520,GID_552,41.60805556,-82.92416667
521,GID_553,41.46972222,-82.71361111
522,GID_554,41.49972222,-82.5
523,GID_555,41.468,-82.70933333
524,GID_556,41.4505,-82.43533333
525,GID_557,41.50033333,-82.5
526,GID_558,41.61666667,-82.55066667
527,GID_559,41.80033333,-82.284
528,GID_560,41.95016667,-83.04266667
529,GID_561,41.96783333,-83.204
530,GID_562,41.86666667,-83.19266667
531,GID_563,41.84,-83.28533333
532,GID_564,41.7545,-83.217
533,GID_565,41.67133333,-83.17083333
534,GID_590,52.30269,5.10699
535,GID_591,52.20096,5.05959
536,GID_592,52.21624,5.06175
537,GID_593,52.20096,5.05959
538,GID_594,52.17336,5.06178
539,GID_595,52.21044,5.07541
540,GID_596,52.18365,5.08337
541,GID_597,52.22546,5.05888
542,GID_598,52.20096,5.05959
543,GID_599,52.20593,5.02154
544,GID_600,52.2022,5.0206
545,GID_601,52.2772,5.0701
546,GID_602,52.17486,4.99403
547,GID_603,52.2727,5.0808
548,GID_604,52.23297,5.06738
549,GID_605,52.23385,5.07971
550,GID_606,52.2265,5.05816
551,GID_607,52.23229,5.05798
552,GID_608,52.26259,5.05992
553,GID_609,52.27417,5.06468
554,GID_610,52.21465,5.04428
555,GID_611,52.21051,5.04229
556,GID_612,-32.766686,-56.398222
557,GID_613,-32.730417,-56.425556
558,GID_614,-32.703056,-56.413056
559,GID_615,-32.690556,-56.418056
560,GID_616,-32.675556,-56.431667
561,GID_617,-32.66401,-56.3264
562,GID_618,-32.639292,-56.396217
563,GID_619,-32.836667,-56.335278
564,GID_620,-32.802778000000004,-56.3375
565,GID_621,-32.810833,-56.342222
566,GID_622,-32.809444,-56.374167
567,GID_623,-33.046222,-57.378333
568,GID_624,-33.057194,-57.395528
569,GID_625,-33.06625,-57.412083
570,GID_626,-33.084889,-57.411583
571,GID_627,-33.114722,-57.414972
572,GID_628,-33.086083,-57.460583
573,GID_629,-33.115194,-57.455194
574,GID_630,-33.068278,-57.448028
575,GID_631,-33.109278,-57.340556
576,GID_632,-33.073139,-57.304833
577,GID_633,-33.063556,-57.322806
578,GID_634,-33.053556,-57.365472
579,GID_635,-33.041444,-57.359444
580,GID_636,-33.069917,-57.438472
581,GID_637,-33.091191,-57.437602
582,GID_638,-33.086083,-57.460583
583,GID_639,-33.114722,-57.414972
584,GID_640,-33.084889,-57.411583
585,GID_641,-33.066766,-57.459555
586,GID_642,-33.076484,-57.436548
587,GID_643,-33.084445,-57.431007
588,GID_644,-33.06625,-57.412083
589,GID_645,-33.06625,-57.412083
590,GID_646,-33.090448,-57.322506
591,GID_647,-33.109278,-57.340556
592,GID_648,-33.073481,-57.352654
593,GID_649,-33.053556,-57.365472
594,GID_650,-33.046222,-57.378333
595,GID_651,-33.066949,-57.387696
596,GID_652,-33.06625,-57.412083
597,GID_653,-33.084889,-57.411583
598,GID_654,-33.114722,-57.414972
599,GID_655,-33.115194,-57.455194
600,GID_656,-33.073139,-57.304833
601,GID_657,-33.084676,-57.368898
602,GID_658,-33.085,-57.372778
603,GID_659,-33.068014,-57.413335
604,GID_725,42.76192,-70.83772
605,GID_726,42.758540000000004,-70.82822
606,GID_727,42.74668,-70.82003
607,GID_728,42.73758,-70.802
608,GID_729,42.73369,-70.80152
609,GID_730,42.69205,-70.76372
610,GID_731,42.694,-70.781
611,GID_732,42.70951,-70.79384
612,GID_733,42.7114,-70.8085
613,GID_734,42.72,-70.813
614,GID_735,42.724850000000004,-70.85501
615,GID_736,42.729,-70.84537
616,GID_737,42.73193,-70.83803
617,GID_738,42.72696,-70.80878
618,GID_739,42.75001,-70.82147
619,GID_740,42.74165,-70.81526
620,GID_741,42.7252,-70.85492
621,GID_742,42.76288,-70.84653
622,GID_743,42.78984,-70.81089
623,GID_744,42.81269,-70.85472
624,GID_745,42.81345,-70.86009
625,GID_746,42.81702,-70.84015
626,GID_747,42.80951,-70.82726
627,GID_748,47.5955,9.52267
628,GID_749,47.57053,9.52207
629,GID_750,47.57021,9.48503
630,GID_751,47.59482,9.48413
631,GID_752,47.58231,9.50279
632,GID_753,47.59567,9.52322
633,GID_754,47.59557,9.52024
634,GID_755,47.59339,9.52365
635,GID_756,47.59352,9.52108
636,GID_757,47.5945,9.52228
637,GID_758,47.5701,9.5234
638,GID_759,47.57036,9.52038
639,GID_760,47.56846,9.52287
640,GID_761,47.56871,9.52042
641,GID_762,47.56954,9.5218
642,GID_763,47.57063,9.4856
643,GID_764,47.57045,9.4832
644,GID_765,47.56884,9.48569
645,GID_766,47.56887,9.48301
646,GID_767,47.56957,9.48438
647,GID_768,47.59581,9.48614
648,GID_769,47.59597,9.48324
649,GID_770,47.59377,9.48615
650,GID_771,47.59412,9.48354
651,GID_772,47.59516,9.48476
652,GID_773,47.58302,9.50451
653,GID_774,47.58324,9.50155
654,GID_775,47.58135,9.50451
655,GID_776,47.5812,9.50185
656,GID_777,47.58244,9.50333
657,GID_778,47.59539,9.52304
658,GID_779,47.59565,9.52076
659,GID_780,47.5936,9.52303
660,GID_781,47.59373,9.52071
661,GID_782,47.59467,9.52179
662,GID_783,47.57036,9.52324
663,GID_784,47.57045,9.52045
664,GID_785,47.56864,9.52329
665,GID_786,47.56857,9.52057
666,GID_787,47.56948,9.52197
667,GID_788,47.57052,9.48585
668,GID_789,47.57055,9.48316
669,GID_790,47.56876,9.48599
670,GID_791,47.56962,9.48455
671,GID_792,47.59587,9.4861
672,GID_793,47.5958,9.4834
673,GID_794,47.59398,9.48614
674,GID_795,47.59399,9.48353
675,GID_796,47.594970000000004,9.48473
676,GID_797,47.58315,9.50456
677,GID_798,47.58315,9.50194
678,GID_799,47.58132,9.50451
679,GID_800,47.58131,9.50197
680,GID_801,47.58225,9.50332
681,GID_802,47.64326,9.37115
682,GID_803,47.6324,9.38888
683,GID_804,47.61753,9.40097
684,GID_805,47.61159,9.41347
685,GID_806,47.58709,9.43172
686,GID_807,47.6429,9.42497
687,GID_808,47.63498,9.41954
688,GID_809,47.62086,9.43725
689,GID_810,47.61174,9.4611
690,GID_811,47.64326,9.37115
691,GID_812,47.6324,9.38888
692,GID_813,47.61753,9.40097
693,GID_814,47.61159,9.41347
694,GID_815,47.58709,9.43172
695,GID_816,47.57645,9.44903
696,GID_817,47.5607,9.47291
697,GID_818,47.56078,9.47273
698,GID_819,47.6429,9.42497
699,GID_820,47.63498,9.41954
700,GID_821,47.62086,9.43725
701,GID_822,47.61174,9.4611
702,GID_823,47.60069,9.46465
703,GID_824,47.57309,9.48996
704,GID_825,47.5854,9.47532
705,GID_826,47.55906,9.50916
706,GID_827,47.54162,9.51566
707,GID_828,47.6324,9.38888
708,GID_829,47.61753,9.40097
709,GID_830,47.61159,9.41347
710,GID_831,47.6429,9.42497
711,GID_832,47.63498,9.41954
712,GID_833,47.62086,9.43725
713,GID_834,45.7041111111111,10.0647222222222
714,GID_835,45.7279444444444,10.0764166666667
715,GID_836,45.6819444444444,10.0534166666667
716,GID_837,45.6709722222222,9.978
717,GID_838,45.6677222222222,10.0064444444444
718,GID_839,45.671793,9.97474
719,GID_840,45.668002,9.990743
720,GID_841,45.670953,10.044856
721,GID_842,45.6711,10.0142
722,GID_843,45.6706,10.02033
723,GID_844,45.6789,10.0667
724,GID_845,45.7061,10.0647
725,GID_846,45.7289,10.0667
726,GID_847,45.4955,10.5893
727,GID_848,45.4989,10.59
728,GID_849,45.50147222,10.64730556
729,GID_850,45.48755556,10.64111111
730,GID_851,45.50347222,10.61594444
731,GID_852,45.84583333,10.84580278
732,GID_853,45.83111111,10.84108333
733,GID_854,45.86633333,10.8485
734,GID_855,45.5009444444444,10.5306388888889
735,GID_856,46.05346,9.28123
